category;english;Malay;Estonian;Finnish;Hungarian;Armenian;Bengali;Nepali;Japanese;Korean;Turkish;Yoruba;Basque;Swahili;Chinese
artistic;accessory designer;pereka aksesori;tarvikute disainer;lisävarusteen suunnittelija;kiegészítő tervező;լրացուցիչ դիզայներ;আনুষঙ্গিক ডিজাইনার;सहायक डिजाइनर;アクセサリーデザイナー;액세서리 디자이너;aksesuar tasarımcısı;apẹẹrẹ ẹya ẹrọ;osagarrien diseinatzailea;designer nyongeza;配件设计师
artistic;actor;pelakon;näitleja;näyttelijä;színész;դերասան;অভিনেতা;अभिनेता;俳優;배우;aktör;olukopa;aktore;mwigizaji;演员
artistic;actress;pelakon;näitleja;näyttelijä;színésznő;դերասանուհի;অভিনেত্রী;अभिनेत्री;女優;여배우;aktris;oṣere;aktorea;mwigizaji;演员
artistic;advertising designer;pereka pengiklanan;reklaami disainer;mainonnan suunnittelija;reklámtervező;գովազդային դիզայներ;বিজ্ঞাপন ডিজাইনার;विज्ञापन डिजाइनर;広告デザイナー;광고 디자이너;reklam tasarımcısı;onise apẹẹrẹ;publizitate diseinatzailea;mtangazaji wa matangazo;广告设计师
artistic;animation director;pengarah animasi;animatsioonirežissöör;animaation johtaja;animációs rendező;անիմացիոն ռեժիսոր;অ্যানিমেশন পরিচালক;एनिमेसन निर्देशक;アニメーションディレクター;애니메이션 감독;animasyon yönetmeni;alakoso idaraya;animazio zuzendaria;mkurugenzi wa uhuishaji;动画导演
artistic;animator;animator;animaator;animaattori;animátor;անիմատոր;অ্যানিমেটর;animator;アニメーター;애니메이터;animatör;animator;animatzaile;kipiga picha;动画制作者
artistic;architect;arkitek;arhitekt;arkkitehti;építészmérnök;ճարտարապետ;স্থপতি;नक्शा वा रुपरेखा तयार पार्ने व्यक्ति;建築家;건축가;mimar;ayaworan;arkitektoak;mbunifu;建筑师
artistic;art administrator;pentadbir seni;kunsti administraator;taiteen ylläpitäjä;művészeti adminisztrátor;արվեստի կառավարիչ;শিল্প প্রশাসক;कला प्रशासक;アート管理者;미술 관리자;sanat yöneticisi;olutọju aworan;artearen administratzailea;msimamizi wa sanaa;艺术管理员
artistic;art critic;pengkritik seni;kunstikriitik;taidekriitikko;műkritikus;արվեստագետ;শিল্প সমালোচক;कला आलोचना;美術評論家;미술 평론가;sanat eleştirisi;akọwe aworan;artearen kritikaria;mtaalam wa sanaa;艺术评论家
artistic;art director;pengarah seni;kunstiline juht;taiteellinen johtaja;művészeti vezető;արվեստի տնօրեն;শিল্প পরিচালক;कला निर्देशक;アートディレクター;미술 감독;sanat yönetmeni;oludari oludari;artearen zuzendaria;mkurugenzi wa sanaa;艺术总监
