Category	English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Nepali	Japanese	Korean	Turkish	Yoruba	Basque	Swahili	Chinese	
Education, training, and library occupations	Archivist	arkivis	arhivaar	arkistonhoitaja	levéltáros	արխիվային գործիչ	মহাফেজখানার সংরক্ষক	अभिलेख	アーキビスト	아키비스트	arşivci	akosile-akọọlẹ	artxibozain	mtunzi	档案	
Education, training, and library occupations	College lecturer	pensyarah kolej	kolledži õppejõud	yliopiston lehtori	főiskolai előadó	քոլեջի դասախոս	কলেজ প্রভাষক	कलेज व्याख्याता	大学講師	대학 강사	kolej öğretim görevlisi	olukọni kọlẹji	unibertsitateko irakaslea	mwalimu wa chuo	大学讲师	
Education, training, and library occupations	College professor	profesor kolej	kolledži professor	yliopistoprofessori	egyetemi tanár	քոլեջի պրոֆեսոր	কলেজের অধ্যাপক	कलेज प्रोफेसर	大学教授	대학 교수	kolej profesörü	ojogbon ile iwe giga	unibertsitateko irakaslea	profesa wa chuo	大学教授	
Education, training, and library occupations	College teacher	guru kolej	kolledži õpetaja	opettaja	főiskolai tanár	քոլեջի ուսուցիչ	কলেজ শিক্ষক	कलेज शिक्षक	大学の先生	대학 교사	kolej öğretmeni	kọlẹẹjì olukọ	unibertsitateko irakaslea	mwalimu wa chuo	大学教师	
Education, training, and library occupations	Curators	kurator	kuraatorid	kuraattorit	kurátorok	կուրատորներ	কিউরেটর	curators	キュレーター	큐레이터	küratörler	awọn oniṣẹ	komisario	curators	策展人	
Education, training, and library occupations	Elementary school teacher	guru sekolah rendah	algkooli õpetaja	ala-asteen opettaja	általános iskolai tanár	տարրական դպրոցի ուսուցիչ	প্রাথমিক স্কুল শিক্ষক	प्राथमिक विद्यालय शिक्षक	小学校教師	초등학교 교사	ilkokul öğretmeni	ile-iwe ile-ẹkọ ile-iwe	lehen hezkuntzako irakaslea	mwalimu wa shule ya msingi	小学老师	
Education, training, and library occupations	Instructor	pengajar	õpetaja	ohjaaja	oktató	հրահանգիչ	উপাধ্যায়	प्रशिक्षक	インストラクター	강사	eğitmen	oluko	monitore	mwalimu	讲师	
Education, training, and library occupations	Kindergarten teacher	guru tadika	lasteaiaõpetaja	lastentarhan opettaja	óvónő	մանկապարտեզի ուսուցիչ	কিন্ডারগার্টেন শিক্ষক	बालबालिका शिक्षक	幼稚園の先生	유치원 교사	anaokulu öğretmeni	olukọ ile-ẹkọ giga	haurtzaindegia	mwalimu wa chekechea	幼儿园老师	
Education, training, and library occupations	Librarian	pustakawan	raamatukoguhoidja	kirjastonhoitaja	könyvtáros	գրադարանավար	গ্রন্থাগারিক	लाइब्रेरियन	図書館員	사서	kütüphaneci	alakoso ile-iwe	liburuzainak	msomaji	图书管理员	
Education, training, and library occupations	Library technician	juruteknik perpustakaan	raamatukogu tehnik	kirjaston teknikko	könyvtári technikus	գրադարանի տեխնիկ	লাইব্রেরির প্রযুক্তিবিদ	पुस्तकालय तकनीशियन	図書館の技術者	도서관 기술자	kütüphane teknisyeni	alakoso ile-iwe	liburutegi teknikaria	teknolojia ya mafundi	图书馆技术员	
Education, training, and library occupations	Middle school teacher	guru sekolah menengah	keskkooli õpetaja	keskiasteen opettaja	középiskolai tanár	միջին դպրոցի ուսուցիչ	মিডিল স্কুল শিক্ষক	मध्य विद्यालय शिक्षक	中学校の先生	중학교 교사	ortaokul öğretmeni	olukọ ile-iwe alakoso	erdiko irakaslea	mwalimu wa shule ya kati	中学老师	
Education, training, and library occupations	Museum technician	juruteknik muzium	muuseumi tehnik	museoteknikko	múzeum technikus	թանգարանային տեխնիկ	যাদুঘর প্রযুক্তিবিদ	संग्रहालय तकनीशियन	美術館の技術者	박물관 기술자	müze teknisyeni	olorin-išẹ musiọmu	museo teknikaria	fundi wa makumbusho	博物馆技术员	
Education, training, and library occupations	Postsecondary teacher	guru postecondary	kõrghariduse õpetaja	jälkeinen opettaja	posztszekunder tanár	անցորդների ուսուցիչ	পোস্টসেকেন্ডারি শিক্ষক	पोस्टसेन्डरी शिक्षक	後期教師	고등 교사	ortaokul öğretmeni	oludari alakoso	bigarren mailako irakaslea	mwalimu wa postsecondary	中学教师	
Education, training, and library occupations	Preschool and kindergarten teachers	guru prasekolah dan tadika	koolieelse ja lasteaia õpetajad	esikoulu- ja lastentarhanopettajat	óvodai és óvodapedagógusok	նախադպրոցական եւ մանկապարտեզի ուսուցիչները	প্রাক্তন স্কুল এবং কিন্ডারগার্টেন শিক্ষক	पूर्वस्कूल र बालवालिका शिक्षकहरू	就学前と幼稚園の先生	유치원 및 유치원 교사	okul öncesi ve anaokulu öğretmenleri	eko ati awọn olukọ ile-ẹkọ giga	eskolaurrekoak eta haurtzaindegiak	walimu wa shule ya mapema na wa kindergarten	学前班和幼儿园老师	
Education, training, and library occupations	Preschool teacher	guru prasekolah	koolieelne õpetaja	esikoulun opettaja	óvodapedagógus	նախադպրոցական ուսուցիչ	পঞ্চমাংশ শিক্ষক	पूर्वस्कूल शिक्षक	幼稚園の先生	유치원 교사	okul öncesi öğretmeni	oluko ọgbẹ	eskolaurreko irakaslea	mwalimu wa mapema	幼儿园老师	
Education, training, and library occupations	Secondary school teacher	guru sekolah menengah	keskkooliõpetaja	keskiasteen opettaja	középiskolai tanár	միջնակարգ դպրոցի ուսուցիչ	মাধ্যমিক স্কুল শিক্ষক	माध्यमिक स्कूल शिक्षक	中学校の先生	중등 학교 교사	orta okul öğretmeni	olukọ ile-iwe keji	bigarren hezkuntzako irakaslea	mwalimu wa shule ya sekondari	中学老师	
Education, training, and library occupations	Special education teacher	guru pendidikan khas	erikoolituse õpetaja	erityisopettaja	speciális oktató	հատուկ կրթության ուսուցիչ	বিশেষ শিক্ষার শিক্ষক	विशेष शिक्षा शिक्षक	特殊教育教師	특수 교육 교사	özel eğitim öğretmeni	olukọ eko pataki	hezkuntza bereziko irakaslea	mwalimu wa elimu maalum	特殊教育教师	
Education, training, and library occupations	Teacher	guru	õpetaja	opettaja	tanár	ուսուցիչ	শিক্ষক	शिक्षक	先生	선생	öğretmen	olukọ	irakasle	mwalimu	老师	
Education, training, and library occupations	Teacher assistant	pembantu guru	õpetaja assistent	opetusavustaja	tanársegéd	ուսուցիչ օգնական	শিক্ষক সহকারী	शिक्षक सहायक	先生の助手	교사 조수	öğretmen yardımcısı	olùkọ olùkọ	irakasle laguntzailea	msaidizi wa mwalimu	教师助手	
Education, training, and library occupations	University lecturer	pensyarah universiti	ülikooli lektor	yliopisto-opettaja	egyetemi előadó	համալսարանի դասախոս	বিশ্ববিদ্যালয়ের প্রভাষক	विश्वविद्यालय व्याख्याता	大学教授	대학에서의 강의	üniversite hocası	olukọni ile-ẹkọ giga	unibertsitateko irakaslea	mwalimu wa chuo kikuu	大学讲师	
Education, training, and library occupations	University professor	profesor universiti	ülikooli professor	yliopiston professori	egyetemi professzor	համալսարանի պրոֆեսոր	বিশ্ববিদ্যালয়ের অধ্যাপক	विश्वविद्यालय प्रोफेसर	大学教授	대학교 수	üniversite profesörü	ojogbon yunifasiti	unibertsitateko irakaslea	profesa wa chuo kikuu	大学教授	
Education, training, and library occupations	University teacher	guru universiti	ülikooliõpetaja	yliopiston opettaja	egyetemi tanár	համալսարանի ուսուցիչ	বিশ্ববিদ্যালয়ের শিক্ষক	विश्वविद्यालय शिक्षक	大学の先生	대학 교사	üniversite öğretmeni	oludari ile ẹkọ	unibertsitateko irakaslea	mwalimu wa chuo kikuu	大学教师	
Business and financial operations occupations	Accountant	akauntan	raamatupidaja	kirjanpitäjä	könyvelő	հաշվապահ	হিসাবরক্ষক	अकाउन्टेंट	会計士	회계사	muhasebeci	oniṣiro	kontulari	mhasibu	会计	
Business and financial operations occupations	Agent	ejen	agent	agentti	ügynök	գործակալ	প্রতিনিধি	एजेन्ट	エージェント	에이전트	ajan	oluranlowo	agentea	wakala	代理人	
Business and financial operations occupations	Auditor	juruaudit	audiitor	tilintarkastaja	könyvvizsgáló	աուդիտոր	নিরীক্ষক	लेखा परीक्षक	審査員	감사	denetçi	agbanisiran	ikuskariaren	mkaguzi	核数师	
Business and financial operations occupations	Benefits analysis specialist	pakar analisis faedah	kasu analüüsi spetsialist	hyötyanalyysin asiantuntija	előnyöket elemző szakember	օգուտների վերլուծության մասնագետ	বেনিফিট বিশ্লেষণ বিশেষজ্ঞ	लाभ विश्लेषण विशेषज्ञ	利益分析専門家	이익 분석 전문가	fayda analizi uzmanı	oniwadi onínọmbà anfani	prestazioen azterketa espezialista	mtaalamu wa uchambuzi wa faida	福利分析专家	
Business and financial operations occupations	Budget analyst	penganalisis bajet	eelarve analüütik	talousarvio analyytikko	költségvetési elemző	բյուջեի վերլուծաբան	বাজেট বিশ্লেষক	बजेट विश्लेषक	予算アナリスト	예산 분석가	bütçe analisti	oluyanju isuna	aurrekontu analista	mchambuzi wa bajeti	预算分析员	
Business and financial operations occupations	Business manager	pengurus perniagaan	ärijuht	liiketoiminnan johtaja	üzleti menedzser	բիզնես մենեջեր	ব্যবসা পরিচালক	व्यवसाय प्रबन्धक	経営者	사업 관리자	işletmeci	oluṣakoso owo	enpresa kudeatzailea	meneja wa biashara	业务经理	
Business and financial operations occupations	Business operations specialist	pakar operasi perniagaan	äritegevuse spetsialist	liiketoiminnan asiantuntija	üzletviteli szakember	բիզնես գործառնությունների մասնագետ	ব্যবসা অপারেশন বিশেষজ্ঞ	व्यापार सञ्चालन विशेषज्ञ	ビジネスオペレーションスペシャリスト	사업 운영 전문가	iş operasyonları uzmanı	oṣiṣẹ ọlọgbọn iṣowo	enpresa-eragiketen espezialista	mtaalamu wa shughuli za biashara	商业运营专家	
Business and financial operations occupations	Claims adjuster	tuntutan adjuster	nõuete korrigeerija	vaatimusten säätäjä	igénybeállító	պահանջում է կարգաբերիչ	দাবি সমন্বয়কারী	दाबीकर्ताको दावी	クレームアジャスター	클레임 조정자	iddialar	nperare ṣatunṣe	erreklamazio egokitzailea	inadai kuwa mhariri	索赔理算人	
Business and financial operations occupations	Claims appraiser	penilai tuntutan	väidab hindaja	vaatimusten arvioijasta	igényel becslést	պահանջում է գնահատող	দাবি মূল্যায়ণকারী	दावी गर्नुहोस्	クレーム審査員	클레임 감정인	talep değerlendirici	iraja apaniyan	erreklamazio tasatzailea	inadai kuwa appraiser	索赔估价师	
Business and financial operations occupations	Claims examiner	tuntutan pemeriksa	nõudeid kontrollija	väitöskirjanpitäjä	állítólagos vizsgáztató	պահանջները քննող	দাবি পরীক্ষক	दावी परीक्षक	主張審査官	클레임 심사관	hak iddia eden	ti n ṣagbewo	erreklamazioen aztertzailea	anadai mchunguzi	索赔审查员	
Business and financial operations occupations	Claims investigator	mendakwa penyiasat	nõude uurija	väittää tutkija	állítja nyomozó	պահանջում է քննիչին	দাবী তদন্তকারী	दावीकर्ताको दावी	主張調査官	클레임 수사관	iddia eden araştırmacı	beere oluṣewadii	erreklamazio ikertzailea	anadai uchunguzi	声称调查员	
Business and financial operations occupations	Compensation analysis specialist	pakar analisis pampasan	hüvitusanalüüsi spetsialist	korvausanalyysin asiantuntija	kompenzációs elemző szakember	փոխհատուցման վերլուծության մասնագետ	ক্ষতিপূরণ বিশ্লেষণ বিশেষজ্ঞ	क्षतिपूर्ति विश्लेषण विशेषज्ञ	補償分析専門家	보상 분석 전문가	tazminat analizi uzmanı	onimọran onínọmbari oye	kalte-ordaina azterketa espezialista	mtaalam wa uchambuzi wa fidia	薪酬分析专家	
Business and financial operations occupations	Compliance officer	pengawai pelaksana	järelevalveametnik	vastaava toimihenkilö	megfelelőségi tisztviselő	համապատասխանության սպա	সম্মতি অফিসার	अनुपालन अधिकारी	コンプライアンス・オフィサー	준법 감시인	uyum görevlisi	oludari ibamu	betearazle ofiziala	afisa wa kufuata	合规官员	
Business and financial operations occupations	Convention planner	perancang konvensyen	konventsiooni planeerija	kongressisuunnittelija	konvencionális tervező	կոնվենցիայի պլանավորողը	সম্মেলন পরিকল্পনাকারী	सम्मेलन योजनाकार	コンベンションプランナー	국제 대회 기획자	kongre planlayıcısı	alakoso igbimọ	konbentzioko planifikatzailea	mpangaji wa mkutano	会议策划师	
Business and financial operations occupations	Cost estimator	penganggar kos	kulude hindaja	kustannusarvioija	költségbecslő	ծախսերի գնահատող	খরচ অনুমানকারী	लागत अनुमानक	コスト見積もり	비용 추산 자	maliyet tahmincisi	iye isise	kostuen zenbateslea	makadirio ya gharama	成本估算器	
Business and financial operations occupations	Credit analyst	penganalisis kredit	krediidi analüütik	luottoanalyytikko	hitel elemző	վարկային վերլուծաբան	ক্রেডিট বিশ্লেষক	क्रेडिट विश्लेषक	信用分析者	신용 분석가	kredi analisti	oluyanju gbese	kreditu analista	mchambuzi wa mkopo	信用分析师	
Business and financial operations occupations	Credit counselor	kaunselor kredit	krediidikonsultant	luotto neuvonantaja	hitel tanácsadó	վարկային խորհրդատու	ক্রেডিট কাউন্সিলর	क्रेडिट सल्लाहकार	?	신용 상담사	kredi danışmanı	?	kreditu-aholkulari	mshauri wa mikopo	信贷顾问	
