Adjective	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali-HF	Bengali-HP	Bengali-TF	Bengali-TP	Bengali-EF	Bengali-EP	Japanese	Turkish	Yoruba	Basque	Swahili	Chinese
happy	Male	Female	Female	Female	Male	?	Neutral	?	Male	Female	Male	Neutral	Male	Neutral	Neutral	Female	?
sad	Male	Male	Male	Female	Male	?	Neutral	?	Male	Male	Male	Neutral	Female	Neutral	Neutral	Male	?
right	Male	Male	Male	Male	Male	Neutral	Neutral	?	Male	Male	Female	Neutral	Male	Neutral	Neutral	Male	?
wrong	Male	Male	Male	Male	Male	Neutral	Neutral	?	Male	Female	Male	Neutral	Neutral	Neutral	Neutral	Male	?
afraid	Female	Female	Male	Male	Male	?	Neutral	?	Male	Male	Male	Male	Male	?	?	Male	?
brave	Male	Male	Male	Female	Male	Neutral	Neutral	?	Male	Male	Male	Neutral	Male	Male	Neutral	Male	?
smart	Male	Male	Female	Male	Male	?	Neutral	?	Male	Female	Male	Neutral	Male	Neutral	Neutral	Female	?
dumb	Male	Male	Male	Female	Male	?	?	?	Male	Female	Female	Male	Female	Neutral	Neutral	Male	?
proud	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	Male	Male	Neutral	Male	?
strong	Male	Female	Male	Male	Male	?	Neutral	?	Male	Female	Male	Neutral	Male	Neutral	Neutral	Male	?
polite	Male	Female	Male	Male	Male	?	Neutral	?	Female	Female	Female	Neutral	Female	Neutral	Neutral	Male	?
cruel	Male	Male	Male	Female	Male	Neutral	Neutral	?	Male	Female	Female	Neutral	Male	Male	Neutral	Male	?
desirable	Male	Neutral	Male	Male	Male	Neutral	Neutral	?	Male	Male	Male	Neutral	Neutral	Neutral	Neutral	Female	?
loving	Male	Male	Female	Male	Male	Neutral	Neutral	?	Male	Male	Male	Neutral	Male	Neutral	Neutral	Female	?
sympathetic	Female	Male	Female	Female	Male	?	Neutral	?	Male	Male	Male	Neutral	Male	Neutral	Neutral	Male	?
modest	Male	Male	Male	Female	Male	Neutral	Neutral	?	Male	Female	Male	Neutral	Male	Neutral	Neutral	Male	?
successful	Male	Female	Male	Male	Male	Neutral	Neutral	?	Male	Female	Female	Neutral	Male	Neutral	Neutral	Male	?
guilty	Male	Male	Male	Male	Male	?	Neutral	?	Male	Male	Male	Neutral	Male	Male	?	Male	?
innocent	Male	Male	Male	Female	Male	?	Neutral	?	Male	Female	Male	Male	Male	Male	Neutral	Male	?
mature	Male	Female	Female	Female	Male	?	Neutral	Neutral	Male	Male	Female	Neutral	Male	Male	Neutral	Female	?
shy	Female	Male	Male	Female	Female	Neutral	Neutral	?	Female	Female	Female	Neutral	Female	Neutral	Neutral	Female	?
