English;Malay;Estonian;Finnish;Hungarian;Armenian;Bengali;Nepali;Japanese;Korean;Turkish;Yoruba;Basque;Swahili;Chinese
happy;gembira;õnnelik;onnellinen;boldog;երջանիկ;খুশি;खुसी;ハッピー;행복;mutlu;dun;zoriontsu;furaha;快乐
wrong;salah;valesti;väärä;rossz;սխալ է;ভুল;गलत;違う;잘못된;yanlış;aṣiṣe;oker;si sawa;错误
smart;pintar;tark;fiksu;Okos;խելացի;স্মার্ট;स्मार्ट;スマート;똑똑한;akıllı;smati;smart;smart;聪明
ashamed;malu;häbeneda;häpeissään;megszégyenülve;ամաչում;লজ্জিত;शर्मिला;恥ずかしい;부끄러워;utanmış;tiju;lotsarik;aibu;羞愧
envious;iri hati;kade;kateellinen;irigy;նախանձում;পরশ্রীকাতর;ईर्ष्या;嫉妬深い;부러워하는;kıskanç;ilara;inbidia;wivu;羡慕
modest;sederhana;tagasihoidlik;vaatimaton;szerény;համեստ;বিনয়ী;मामूली;控えめな;겸손한;mütevazi;iwonba;apala;kawaida;谦虚
innocent;tidak bersalah;süütu;viaton;ártatlan;անմեղ;নির্দোষ;निर्दोष;無実;순진한;masum;alaiṣẹ;errugabea;wasio na hatia;无辜
sad;sedih;kurb;surullinen;szomorú;տխուր;দু: খিত;उदास;悲しい;슬퍼;üzgün;ibanujẹ;triste;huzuni;伤心
afraid;takut;karda;peloissaan;félnek;վախենալով;ভীত;डराउनु;恐れ;두려워하는;korkmuş;bẹru;beldur;hofu;害怕
dumb;bodoh;lollakas;tyhmä;néma;համր;মূক;गूंगा;ダム;우둔한;dilsiz;odi;muda;mjinga;哑
kind;jenis;laadi;kiltti;kedves;բարի;সদয়;दयालु;種類;종류;tür;Iru;nolako;aina;类
loving;cinta;armastav;rakastava;szerető;սիրող;স্নেহময়;मायालु;愛する;사랑하는;seven;ife;maitekorra;upendo;爱心
arrogant;sombong;ülbe;ylimielinen;arrogáns;ամբարտավան;অহংকারী;घमण्डी;傲慢な;거만한;kibirli;agberaga;harroputz;kiburi;傲慢
helpless;tidak berdaya;abitu;avuton;tehetetlen;անօգնական;অসহায়;असहाय;無力;어찌할 수 없는;çaresiz;alaini iranlọwọ;babesik;wasio na msaada;无助
right;betul;õige;oikea;jobb;ճիշտ;অধিকার;दायाँ;右;권리;sağ;ọtun;eskuineko;haki;对
brave;berani;vapper;urhea;bátor;խիզախ;সাহসী;बहादुर;勇敢な;용감한;cesur;akọni;ausartak;jasiri;勇敢
proud;bangga;uhke;ylpeä;büszke;հպարտ;গর্বিত;गर्व;誇りに思う;교만한;gururlu;gberaga;harro;kiburi;骄傲
cruel;kejam;julm;julma;kegyetlen;դաժան;নিষ্ঠুর;क्रूर;残酷な;잔인한;acımasız;onilara;krudela;mkatili;残忍
hateful;kebencian;vihklev;vastenmielinen;utálatos;ատելություն;ঘৃণ্য;घृणित;憎む;증오심이 많은;nefret dolu;korira;gorrotagarria;chuki;可恶
guilty;bersalah;süüdi;syyllinen;bűnös;մեղավոր;দোষী;दोषी;有罪;저지른;suçlu;jẹbi;errudun;mwenye hatia;有罪
shy;malu;häbelik;ujo;félénk;ամաչկոտ;লাজুক;शर्मीला;シャイ;수줍은;utangaç;itiju;lotsati;aibu;害羞
attractive;menarik;atraktiivne;viehättävä;vonzó;գրավիչ;আকর্ষণীয়;आकर्षक;魅力的;매력적인;çekici;wuni;erakargarria;kuvutia;有吸引力
