POS	ID	PosScore	NegScore	SynsetTerms	Gloss
a	00001740	0.125	0	able#1	(usually followed by `to') having the necessary means or skill or know-how or authority to do something; "able to swim"; "she was able to program her computer"; "we were at last able to buy a car"; "able to get a grant for the project"
a	00002098	0	0.75	unable#1	(usually followed by `to') not having the necessary means or skill or know-how; "unable to get to town without a car"; "unable to obtain funds"
a	00002312	0	0	dorsal#2 abaxial#1	facing away from the axis of an organ or organism; "the abaxial surface of a leaf is the underside or side facing away from the stem"
a	00002527	0	0	ventral#2 adaxial#1	nearest to or facing toward the axis of an organ or organism; "the upper side of a leaf is known as the adaxial surface"
a	00002730	0	0	acroscopic#1	facing or on the side toward the apex
a	00002843	0	0	basiscopic#1	facing or on the side toward the base
a	00002956	0	0	abducting#1 abducent#1	especially of muscles; drawing away from the midline of the body or from an adjacent part
a	00003131	0	0	adductive#1 adducting#1 adducent#1	especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part
a	00003356	0	0	nascent#1	being born or beginning; "the nascent chicks"; "a nascent insurgency"
a	00003553	0	0	emerging#2 emergent#2	coming into existence; "an emergent republic"
a	00003700	0.25	0	dissilient#1	bursting open with force, as do some ripe seed vessels
a	00003829	0.25	0	parturient#2	giving birth; "a parturient heifer"
a	00003939	0	0	dying#1	in or associated with the process of passing from life or ceasing to be; "a dying man"; "his dying wish"; "a dying fire"; "a dying civilization"
a	00004171	0	0	moribund#2	being on the point of death; breathing your last; "a moribund patient"
a	00004296	0	0	last#5	occurring at the time of death; "his last words"; "the last rites"
a	00004413	0	0	abridged#1	(used of texts) shortened by condensing or rewriting; "an abridged version"
a	00004615	0	0	shortened#4 cut#3	with parts removed; "the drastically cut film"
a	00004723	0	0	half-length#2	abridged to half its original length
a	00004817	0	0	potted#3	(British informal) summarized or abridged; "a potted version of a novel"
a	00004980	0	0	unabridged#1	(used of texts) not shortened; "an unabridged novel"
a	00005107	0.5	0	uncut#7 full-length#2	complete; "the full-length play"
a	00005205	0.5	0	absolute#1	perfect or complete or pure; "absolute loyalty"; "absolute silence"; "absolute truth"; "absolute alcohol"
a	00005473	0.75	0	direct#10	lacking compromising or mitigating elements; exact; "the direct opposite"
a	00005599	0.5	0.5	unquestioning#2 implicit#2	being without doubt or reserve; "implicit trust"
a	00005718	0.125	0	infinite#4	total and all-embracing; "God's infinite wisdom"
a	00005839	0.5	0.125	living#3	(informal) absolute; "she is a living doll"; "scared the living daylights out of them"; "beat the living hell out of him"
a	00006032	0.25	0.5	relative#1 comparative#2	estimated by comparison; not absolute or complete; "a relative stranger"
a	00006245	0	0	relational#1	having a relation or being related
a	00006336	0	0	absorptive#1 absorbent#1	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.); "as absorbent as a sponge"
a	00006777	0.375	0	sorbefacient#1 absorbefacient#1	inducing or promoting absorption
a	00006885	0	0.75	assimilatory#1 assimilative#2 assimilating#1	capable of taking (gas, light, or liquids) into a solution; "an assimilative substance
a	00007096	0	0	hygroscopic#1	absorbing moisture (as from the air)
a	00007208	0	0.125	receptive#4	able to absorb liquid (not repellent); "the paper is ink-receptive"
a	00007331	0	0	shock-absorbent#1	having the capacity to absorb the energy of an impact; "the material absorbs shock and is used for shock-absorbent insoles"
a	00007516	0	0	spongy#2 spongelike#2	like a sponge in being able to absorb liquids and yield it back when compressed
a	00007697	0	0	thirsty#4	able to take in large quantities of moisture; "thirsty towels"
a	00007813	0	0.5	nonabsorptive#1 nonabsorbent#1	not capable of absorbing or soaking up (liquids)
a	00007990	0	0.5	resistant#5 repellent#3	incapable of absorbing or mixing with; "a water-repellent fabric"; "plastic highly resistant to steam and water"
