English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Japanese	Turkish	Yoruba	Basque	Swahili	Chinese
happy	gembira	õnnelik	onnellinen	boldog	երջանիկ	খুশি	ハッピー	mutlu	dun	zoriontsu	furaha	快乐
sad	sedih	kurb	surullinen	szomorú	տխուր	দু: খিত	悲しい	üzgün	ibanujẹ	triste	huzuni	伤心
right	betul	õige	oikea	jobb	ճիշտ	অধিকার	右	sağ	ọtun	eskuineko	haki	对
wrong	salah	valesti	väärä	rossz	սխալ է	ভুল	違う	yanlış	aṣiṣe	oker	si sawa	错误
afraid	takut	karda	peloissaan	félnek	վախենալով	ভীত	恐れ	korkmuş	bẹru	beldur	hofu	害怕
brave	berani	vapper	urhea	bátor	խիզախ	সাহসী	勇敢な	cesur	akọni	ausartak	jasiri	勇敢
smart	pintar	tark	fiksu	okos	խելացի	স্মার্ট	スマート	akıllı	smati	smart	smart	聪明
dumb	bodoh	lollakas	tyhmä	néma	համր	মূক	ダム	dilsiz	odi	muda	mjinga	哑
proud	bangga	uhke	ylpeä	büszke	հպարտ	গর্বিত	誇りに思う	gururlu	gberaga	harro	kiburi	骄傲
strong	kuat	tugev	vahva	erős	ուժեղ	শক্তিশালী	強い	kuvvetli	lagbara	indartsu	nguvu	强大
polite	sopan	viisakas	kohtelias	udvarias	քաղաքավարի	ভদ্র	丁寧	kibar	iwa rere	adeitsu	heshima	有礼貌
cruel	kejam	julm	julma	kegyetlen	դաժան	নিষ্ঠুর	残酷な	acımasız	onilara	krudela	mkatili	残忍
desirable	wajar	soovitav	toivottava	kívánatos	ցանկալի	কাম্য	望ましい	çekici	wuni	komenigarria	kuhitajika	合意
loving	cinta	armastav	rakastava	szerető	սիրող	স্নেহময়	愛する	seven	ife	maitekorra	upendo	爱心
sympathetic	bersimpati	sümpaatiline	sympaattinen	rokonszenvező	սիմպաթիկ	সহানুভূতিশীল	同情的な	sempatik	alaafia	jatorra	huruma	有同情心
modest	sederhana	tagasihoidlik	vaatimaton	szerény	համեստ	বিনয়ী	控えめな	mütevazi	iwonba	apala	kawaida	谦虚
successful	berjaya	edukas	onnistunut	sikeres	հաջող	সফল	成功した	başarılı	aseyori	arrakasta	imefanikiwa	成功
guilty	bersalah	süüdi	syyllinen	bűnös	մեղավոր	দোষী	有罪	suçlu	jẹbi	errudun	mwenye hatia	有罪
innocent	tidak bersalah	süütu	viaton	ártatlan	անմեղ	নির্দোষ	無実	masum	alaiṣẹ	errugabea	wasio na hatia	无辜
mature	matang	küps	kypsä	érett	հասուն	পরিণত	成熟した	olgun	ogbo	heldua	kukomaa	成熟
shy	malu	häbelik	ujo	félénk	ամաչկոտ	লাজুক	シャイ	utangaç	itiju	lotsati	aibu	害羞
